"Year","Month","Day","Extent","Missing","hemisphere"
2009,6,22,14.575,0,"south"
2009,6,23,14.638,0,"south"
2009,6,24,14.77,0,"south"
2009,6,25,14.878,0,"south"
2009,6,26,14.926,0,"south"
2009,6,27,14.981,0,"south"
2009,6,28,14.921,0,"south"
2009,6,29,14.956,0,"south"
2009,6,30,15.003,0,"south"
2009,7,1,15.11,0,"south"
2009,7,2,15.239,0,"south"
2009,7,3,15.295,0,"south"
2009,7,4,15.269,0,"south"
2009,7,5,15.364,0,"south"
2009,7,6,15.45,0,"south"
2009,7,7,15.601,0,"south"
2009,7,8,15.752,0,"south"
2009,7,9,15.914,0,"south"
2009,7,10,16.038,0,"south"
2009,7,11,16.122,0,"south"
2009,7,12,16.269,0,"south"
2009,7,13,16.35,0,"south"
2009,7,14,16.35,0,"south"
2009,7,15,16.32,0,"south"
2009,7,16,16.499,0,"south"
2009,7,17,16.638,0,"south"
2009,7,18,16.574,0,"south"
2009,7,19,16.43,0,"south"
2009,7,20,16.437,0,"south"
2009,7,21,16.492,0,"south"
2009,7,22,16.553,0,"south"
2009,7,23,16.618,0,"south"
2009,7,24,16.687,0,"south"
2009,7,25,16.74,0,"south"
2009,7,26,16.838,0,"south"
2009,7,27,16.908,0,"south"
2009,7,28,16.964,0,"south"
2009,7,29,17.059,0,"south"
2009,7,30,17.092,0,"south"
2009,7,31,17.129,0,"south"
2009,8,1,17.249,0,"south"
2009,8,2,17.39,0,"south"
2009,8,3,17.405,0,"south"
2009,8,4,17.481,0,"south"
2009,8,5,17.561,0,"south"
2009,8,6,17.626,0,"south"
2009,8,7,17.691,0,"south"
2009,8,8,17.778,0,"south"
2009,8,9,17.907,0,"south"
2009,8,10,17.939,0,"south"
2009,8,11,18.021,0,"south"
2009,8,12,18.14,0,"south"
2009,8,13,18.128,0,"south"
2009,8,14,18.222,0,"south"
2009,8,15,18.258,0,"south"
2009,8,16,18.255,0,"south"
2009,8,17,18.277,0,"south"
2009,8,18,18.32,0,"south"
2009,8,19,18.294,0,"south"
2009,8,20,18.294,0,"south"
2009,8,21,18.385,0,"south"
2009,8,22,18.356,0,"south"
2009,8,23,18.35,0,"south"
2009,8,24,18.328,0,"south"
2009,8,25,18.386,0,"south"
2009,8,26,18.447,0,"south"
2009,8,27,18.538,0,"south"
2009,8,28,18.506,0,"south"
2009,8,29,18.467,0,"south"
2009,8,30,18.518,0,"south"
2009,8,31,18.515,0,"south"
2009,9,1,18.601,0,"south"
2009,9,2,18.652,0,"south"
2009,9,3,18.725,0,"south"
2009,9,4,18.776,0,"south"
2009,9,5,18.836,0,"south"
2009,9,6,18.817,0,"south"
2009,9,7,18.825,0,"south"
2009,9,8,18.797,0,"south"
2009,9,9,18.837,0,"south"
